bar
1.214
2.985
4.764
6.564
8.348
10.140
11.926
13.711
15.498
17.295
19.081
20.869
22.652
24.407
26.126
27.902
29.706
31.465
33.237
35.022
36.713
38.408
40.159
41.918
43.688
45.477
47.269
49.076
50.818
52.554
54.328
56.117
57.898
59.658
61.398
63.171
64.977
66.741
68.515
70.306
72.059
73.814
75.605
77.369
79.156
80.904
82.666
84.443
86.214
88.049
89.902
91.654
93.459
95.277
97.056
98.840
100.639
102.422
104.143
105.920
107.701
109.457
111.229
112.985
114.762
116.524
118.270
120.070
121.864
123.629
125.394
126.722
128.512
130.342
132.202
134.023
135.810
137.586
139.335
141.114
142.868
144.610
146.387
148.182
149.952
151.715
153.464
155.256
157.020
158.789
160.580
162.385
163.741
165.506
167.229
169.013
170.837
172.630
