time	noteName	noteMIDI	noteKey	noteOctave
60.372	F	41	5	2
60.465	F	65	5	4
60.720	F	77	5	5
60.836	D	62	2	4
61.092	G	55	7	3
61.185	D	62	2	4
61.440	F	65	5	4
61.510	F	65	5	4
61.742	A	69	9	4
61.997	A	33	9	1
62.229	A#	34	10	1
62.369	F	65	5	4
62.601	F	65	5	4
62.880	F	65	5	4
62.973	A	69	9	4
63.042	D	62	2	4
63.576	A#	58	10	3
63.623	D	38	2	2
63.785	G#	68	8	4
63.901	D	38	2	2
64.087	A	69	9	4
64.180	A	69	9	4
64.482	A	81	9	5
64.621	A	57	9	3
64.644	A	81	9	5
64.877	A	81	9	5
65.109	A	81	9	5
65.341	G	67	7	4
65.527	G	67	7	4
65.573	G	55	7	3
65.829	G	67	7	4
66.038	F	53	5	3
66.200	G	79	7	5
66.339	F#	54	6	3
66.409	G	67	7	4
66.548	F	53	5	3
66.641	F	65	5	4
66.873	F	65	5	4
67.082	D	62	2	4
67.268	D	38	2	2
67.431	D	62	2	4
67.733	D	62	2	4
67.895	D	62	2	4
68.197	D	62	2	4
68.290	F	65	5	4
68.917	F	65	5	4
69.033	C	60	0	4
69.590	A#	58	10	3
69.962	G	55	7	3
70.821	A	45	9	2
70.960	F	65	5	4
71.053	F	65	5	4
71.308	D	38	2	2
71.471	D	38	2	2
71.680	F	65	5	4
71.935	F	65	5	4
72.168	F	65	5	4
72.353	E	76	4	5
72.586	F#	42	6	2
72.841	E	76	4	5
73.096	E	76	4	5
73.259	E	64	4	4
73.421	F	53	5	3
73.491	G	55	7	3
73.723	G	55	7	3
73.839	F	53	5	3
73.979	F	65	5	4
74.211	F	65	5	4
74.350	F	41	5	2
74.466	F	77	5	5
74.629	A	33	9	1
74.815	A#	34	10	1
74.954	E	76	4	5
74.977	A	57	9	3
75.256	D	74	2	5
75.372	G	55	7	3
75.558	G	55	7	3
75.767	E	64	4	4
75.836	F	77	5	5
75.906	E	64	4	4
76.022	E	64	4	4
76.231	A	33	9	1
76.324	A#	34	10	1
76.510	A	33	9	1
76.603	A#	34	10	1
76.881	E	64	4	4
77.021	E	64	4	4
77.067	D	74	2	5
77.322	D	62	2	4
77.485	D	62	2	4
77.926	C	72	0	5
77.996	F	77	5	5
78.112	F	77	5	5
78.414	D	38	2	2
78.553	D	74	2	5
78.785	D	62	2	4
79.018	D	62	2	4
79.180	D	62	2	4
79.435	D#	63	3	4
79.668	F#	42	6	2
79.807	E	64	4	4
79.946	F	41	5	2
80.132	D	62	2	4
80.364	D	62	2	4
80.504	F	53	5	3
