MFCC	ZC	time	noteName	noteMIDI	noteKey	noteOctave	chordName	chordKey	chordMode	chordNotes	RMS
[0.029241422175296541, -0.13593729890640835, -0.055141141919543023, 0.026226060541265889, -0.0038831791106758019, 0.0044749982741492415, -0.010744482764556326, -0.022409970617468487, -0.0032237125094522383, 0.013624256855224339, -0.020044572756877231, -0.033018093192418427]	0.096	15.534	F	65	5	4	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.419
[0.069070772116001253, -0.013529640183892286, 0.062403918496129106, 0.075949533228408583, -0.026958428553548817, 0.020958606667911061, 0.044523016224635094, -0.021068276690687681, -0.071610839122258158, 0.026573362470708302, 0.074535003479184389, -0.014911194511770918]	0.089	15.859	D	62	2	4	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]	0.436
[0.007901032770463251, -0.042183043823217851, 0.00053382476264941206, -0.039245517931204975, -0.10187503257597622, -0.040709380483032076, -0.039626717709624067, -0.088319923566021613, -0.10957813678005018, -0.0046142379748049366, 0.046904849400063536, -0.012774461174098214]	0.071	15.929	D	74	2	5	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.995
[0.11600422495066705, -0.047188685576677901, -0.01273920760140526, 0.047879472832500776, -0.048580384484942236, 0.0049496768490691874, -0.018155756915431146, -0.051494069745895474, -0.1052369698323407, 0.0022736547532451212, 0.0042147266525471294, -0.014645572714578715]	0.113	15.999	E	76	4	5	E	4	1	[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]	0.611
[-0.064338714839202324, -0.13194312727418223, -0.0046915619808703497, -0.029524646925642734, -0.024178081210250658, -0.034051912665816399, -0.034033684452655248, -0.032615010941531554, -0.059844577493079004, -0.046050458245042503, -0.067767075571042668, -0.049410467005400305]	0.141	16.254	E	76	4	5	E	4	1	[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]	0.538
[-0.069544177466564175, -0.066344700225192912, 0.0077865770941609614, 0.018339891438038096, 0.0023910062089454679, -0.0042644691991707432, -0.039318177723404589, -0.028369063938132225, -0.006208310765107695, -0.0099196981862540636, -0.041408738354766085, -0.030324937160635102]	0.155	16.347	F	41	5	2	E	4	1	[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]	0.487
[-0.01969161683403936, -0.16998114996391833, -0.049376703740321277, -0.01463934457389501, -0.023313105137549348, -0.048476837656804196, -0.025571949676403357, -0.055899007227179651, 0.026878367943346922, 0.014445393022913729, 0.0013965225786525654, -0.01072619511275826]	0.167	16.625	E	76	4	5	E	4	1	[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]	0.427
[0.083776947516503913, -0.16366315852542818, -0.08451968752661583, -0.10599855976265121, -0.041977644178365879, 0.032215279421646828, 0.092578266088772732, -0.020120331829318897, -0.02565319901236145, -0.064363812540614962, 0.048353384663841099, -0.011798084557492731]	0.089	16.742	F	53	5	3	C	0	1	[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]	0.596
[0.036639675097043196, -0.13372275810373849, -0.084945273215562986, -0.00015833371654882302, -0.01067700300810045, -0.016214862949571959, 0.020042870763573098, -0.001604709538126107, -0.02596695223470219, 0.019993821201562775, 0.011465821636134169, -0.015590485633563286]	0.080	16.811	F	65	5	4	Am	9	0	[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]	0.284
[0.39544504478144232, 0.082522816402265081, -0.07186770631471702, -0.047419573150776828, -0.0076254059621942115, -0.063906722355016835, -0.083644879892298005, -0.10421104719230864, -0.00032133422969161219, 0.053345350867898246, 0.15679399251094928, 0.051274502012389318]	0.068	17.694	F	41	5	2	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.551
