time	MFCC
15.929	[0.007901032770463251, -0.042183043823217851, 0.00053382476264941206, -0.039245517931204975, -0.10187503257597622, -0.040709380483032076]
15.999	[0.11600422495066705, -0.047188685576677901, -0.01273920760140526, 0.047879472832500776, -0.048580384484942236, 0.0049496768490691874]
16.254	[-0.064338714839202324, -0.13194312727418223, -0.0046915619808703497, -0.029524646925642734, -0.024178081210250658, -0.034051912665816399]
16.347	[-0.069544177466564175, -0.066344700225192912, 0.0077865770941609614, 0.018339891438038096, 0.0023910062089454679, -0.0042644691991707432]
16.625	[-0.01969161683403936, -0.16998114996391833, -0.049376703740321277, -0.01463934457389501, -0.023313105137549348, -0.048476837656804196]
16.742	[0.083776947516503913, -0.16366315852542818, -0.08451968752661583, -0.10599855976265121, -0.041977644178365879, 0.032215279421646828]
16.811	[0.036639675097043196, -0.13372275810373849, -0.084945273215562986, -0.00015833371654882302, -0.01067700300810045, -0.016214862949571959]
17.694	[0.39544504478144232, 0.082522816402265081, -0.07186770631471702, -0.047419573150776828, -0.0076254059621942115, -0.063906722355016835]
17.740	[0.17150483151829743, 0.022360674359383416, -0.041482923967290627, 0.034891332608585096, 0.035232112348193671, -0.044682746131931253]
17.903	[0.20456024065546249, 0.034868598772880399, -0.081017325770163268, 0.061705952223551491, 0.046969937902330977, -0.064471380660338848]
17.972	[0.082382817598705083, -0.046599025038127073, -0.11246445780249671, 0.073352296031754818, 0.037191835021523754, -0.050473197787616747]
18.135	[0.091042564794980893, -0.062008727951277078, -0.024125094263756499, 0.065943341916791062, 0.063292027966627584, 0.014124926538684508]
18.390	[0.025879468702906021, -0.030386003701042906, -0.060904587221511867, 0.070940124232827126, 0.084947256490786827, 0.088794553825389089]
18.483	[0.129025239101106, -0.10151702540404885, -0.12564926089743719, 0.021754725540754121, 0.071408321945916051, 0.066890265444385671]
18.553	[0.24536283551759702, -0.10768059322637941, -0.10881724372916236, 0.064885395336159432, 0.023042245813292516, 0.03828657787339744]
18.692	[0.00022317439424742266, -0.095391448544031227, -0.072644266976977179, 0.024971321609610742, 0.067016859231035827, 0.04054053024765835]
18.971	[0.094059699123214935, -0.12721681316749803, -0.060493770130660714, 0.013516327863367764, 0.088590273781594148, 0.11084151692909823]
19.040	[0.040494010111427774, -0.11030123368948321, -0.025440625551882659, 0.030549631789881369, 0.087682925980989201, 0.018265683295862395]
19.342	[0.17067480137039687, -0.060374334476538873, -0.077138605400247445, 0.041259506817521788, 0.011243760075287655, -0.01403969108290642]
19.505	[0.1158338261603556, 0.023986080434269526, 0.027962062093723365, 0.057918071278744744, 0.062075474109311725, 0.0041729589353825102]
19.644	[0.26247959752215799, 0.03666938448567908, -0.10698958839517238, 0.11307642822325824, 0.02987166117906322, 0.022174049018342988]
19.783	[0.09195199403692117, -0.00060870226367575248, 0.0044887170683475686, 0.065097226208729639, 0.11522085237118961, 0.014120994690861619]
19.992	[0.075601886629653808, 0.0072373313828596143, -0.042084506755360261, 0.089536736807637962, 0.057270665654147804, 0.048518471665420546]
20.225	[0.14028208451002808, -0.019591376326430855, -0.10239653816639137, 0.083231976119215234, 0.065177672114074783, 0.00031918219000404635]
20.457	[0.044341011780010951, -0.12326675933449138, -0.12995547090266996, 0.044461195312819779, 0.11743997475834171, 0.027416530790363696]
20.666	[0.045366890891032782, -0.067736552914899592, -0.082576621076387691, 0.037139505521859385, 0.076639920397866157, 0.063974623779129977]
20.828	[0.12123996836146748, -0.084186545409160374, -0.043128866829862965, -0.0034434284110305626, 0.070762591698196833, 0.064464685236755609]
21.153	[0.20228021475731414, 0.01424577022781222, -0.033262844821939641, 0.023143098620769381, 0.025166527042666136, -0.011486768615369854]
21.269	[0.10732798029793601, -0.029565726465369539, -0.020831082404843704, 0.038888675013189114, 0.067987696180500393, -0.015108155701689217]
21.386	[0.13492237729140213, -0.055879981241438795, -0.092007818370921188, 0.066434072934677568, 0.0040414981723328565, -0.033978062264773137]
21.478	[0.15653234423195328, -0.029649824731290589, -0.10903805655779963, 0.097483660593249186, 0.037378554972062814, -0.06048311881932962]
21.595	[0.12284243146626556, -0.059382963971007049, -0.069879851435084281, 0.082926766847888828, 0.083510362520322623, -0.057647667641660828]
21.757	[0.0097197773237827512, -0.052673520480465724, -0.026780133547345247, 0.074613026106822661, 0.089532822309681251, 0.035207314020167343]
22.013	[0.13479533634016316, -0.089009742742476708, -0.012234144780074237, 0.0026674228745520805, 0.0080531040719996547, 0.028631927021537305]
22.129	[0.036774572415129006, -0.1598587841972704, -0.09574602524354095, 0.01876024348428517, 0.011058154737610407, 0.0089148705119706205]
