time	MFCC
51.339	[0.0064150106107705883, -0.050058375686725852, 0.073140521878792539, 0.022588847057635725, -0.02560595863908343, -0.014392941669375476]
51.618	[-0.02387758043639648, -0.10954993793741828, 0.014570219579176071, 0.045593724962186929, -0.030386871970245383, -0.0035850398889118156]
51.757	[-0.015599027955238888, -0.14017553365809052, 0.0037277730018069927, -0.016749931463338884, -0.071636372521147823, -0.064266621504718111]
51.966	[0.056602903766843918, -0.16279836648114221, -0.069279676129437875, -0.034367081441482025, -0.045352393978275861, 0.030647656670707957]
52.198	[-0.061587782519967257, -0.086257629255218557, -0.045061596966739205, -0.04370028205956742, -0.043299296388275697, 0.03153422805088945]
52.291	[-0.21565111995166533, -0.15684323946145798, 0.0030135093150831381, -0.091725083837508908, -0.091251711180520431, 0.030390255251583991]
52.361	[-0.13054771065541071, -0.12432021256679801, -0.033303366808989807, -0.052149269812887061, -0.044506745582099223, 0.0096059629215792114]
52.663	[-0.032589352423914537, -0.18691753996462476, -0.14873292199487514, -0.065992705531551857, 0.03856055451963402, -0.043944658118852509]
52.733	[-0.17950420901515329, -0.14143758676509052, -0.091632647597743852, -0.025894354336021705, -0.098205393927514983, -0.044371573830588346]
52.825	[0.019210125973234304, -0.033133816487130985, 0.027505859549183932, 0.016317997303239452, 0.0042292695567013837, -0.061737867405270083]
53.127	[0.10076452697289875, -0.0104107955919399, 0.045664932121822065, 0.011576426967344242, 0.015352229125794706, -0.039441911380839481]
53.197	[0.063863117236679659, -0.14268586165891345, 0.0040200702390238777, 0.011578727163534714, 0.0094413535634602017, -0.001724000186795225]
53.406	[0.03820634838740751, -0.11925093284294386, 0.05353852551581368, 0.027111975194349582, 0.030351547943610616, 0.062803658558887698]
53.499	[-0.084274281614379359, -0.045122865435122422, 0.00017769063070188196, -0.0087212304884016802, 0.033422362551487957, 0.072955909349387116]
53.824	[-0.024221228438203526, -0.20284680546408551, -0.12233541318859302, -0.070837421737835221, -0.023347372387503465, 0.015719046700779792]
54.033	[0.12350720354825587, -0.11302946230327232, -0.13197723274788925, 0.046643994056288544, -0.042664719030042049, 0.022347346170828879]
54.079	[0.025676928731392195, -0.13953049088970437, -0.096609301257316829, -0.072603866410008489, 0.0010204516495374398, 0.024175306627465358]
54.404	[0.33255813026380898, 0.017673596200253761, -0.031166183645763727, 0.0058707607706455292, -0.010060398468657522, -0.04350987881838201]
54.451	[0.22261712840399245, -0.056315359903029473, -0.080737482527103707, 0.07364026316482071, 0.022194933703507856, 0.062728257724074352]
54.683	[0.25391438811584055, -0.080666825533067213, -0.16014835976583938, 0.0050948223015623998, 0.01570902067518215, 0.033821305300091413]
54.846	[0.29453935339162557, -0.11880643856932185, -0.12123354134598303, 0.08736057200784951, 0.05981674704317802, 0.043852704212113201]
54.915	[0.19616429895976795, -0.14741108887290316, -0.10407341888088063, 0.030168047394820201, 0.0096107489681680099, -0.055698837342769265]
55.124	[0.041494010421838555, -0.047621561134405743, -0.057288629166053186, -0.017243701596135391, 9.458284392330435e-05, 0.024560907716003073]
55.449	[0.22957071004066182, -0.052602488311440598, -0.08644916666554632, -0.014702875280235466, 0.0081599888748075597, -0.024755106866863254]
55.774	[-0.054661984813516938, -0.079305211221760846, 0.033778232337992584, 0.0022400242249715394, 0.001047728426443713, 0.034282740031432724]
55.867	[0.014309898068942341, -0.086969670232903154, -0.0022717616948305015, 0.018040369315005758, -0.069845351287781035, 0.022439271099009561]
56.123	[0.051298677225547144, -0.087706735786321127, -0.070339360707841803, -0.0060552080984023924, 0.027533799011131364, -0.019946342142973847]
56.378	[0.080772001824807885, -0.11220320818163468, -0.10443039052668374, 0.11139176767500734, -0.024321638205326356, -0.087014435129274564]
56.424	[0.14276960088684756, 0.0034485010669184769, 0.0060449612387758807, 0.026015030166612666, 0.0043910494870889718, -0.050053018505090432]
56.703	[0.1279946964327433, -0.029489089630432747, -0.035572296992641569, -0.021044401766895225, 0.030688937086012377, -0.014167928407970293]
56.819	[0.16513140610492305, -0.071672390724124804, -0.049661215522569739, 0.015548778521741784, 0.073310664013061799, -0.052346058693818816]
56.959	[0.11787903890792165, -0.052501044919882368, 0.013348311598970005, 0.006037985593190312, 0.068028298299225354, 0.0056436670232605209]
57.121	[0.18693872752988888, -0.16694720892889808, -0.0082130095269613186, 0.017409821683492421, 0.093115852760371098, 0.0013399534833552389]
57.330	[0.083078683777319626, -0.19115494362038446, 0.046950845820213215, 0.045052739310233347, 0.024393098255552692, 0.094792504823788828]
57.493	[0.086503185580570172, -0.10539037758020874, -0.032548838687292886, -0.0060804996745731001, 0.025738169432670578, 0.026756759149850678]
57.609	[0.046538620920444779, -0.097592456443462178, -0.04692676204445044, -0.02867918247039717, 0.044536738684709816, 0.026456468726769277]
57.887	[0.12083107794304294, -0.16845014686272416, -0.10122720983250683, -0.08327323898154862, 0.070577245029452354, -0.06690146199091318]
58.096	[0.30443318913866108, -0.20326041374380671, -0.10456938134436893, -0.066128606865379067, 0.14259143368935012, 0.0067326897046868688]
58.143	[0.093287328783805606, -0.14168417463582186, -0.15130564859453111, -0.008225241298095598, 0.059817616473132995, -0.035334010943937691]
58.421	[0.15950035329378184, -0.075003971550339762, -0.048863596634108573, 0.00076483033043279645, 0.053759599951582901, -0.11211519972262364]
58.584	[0.16705670822069169, -0.036574275154335485, -0.068951396003318247, 0.047229210887942741, -0.021349047545486964, -0.096967272326965212]
58.886	[0.087315561606836178, -0.095504908529241636, -0.092924089145423688, 0.022326806992570152, 0.016103564402656988, -0.027905431526277915]
59.025	[-0.04485279119760073, -0.13425701357156256, -0.10667596894522761, -0.017415047021515626, 0.030301461787820439, -0.0042301180038277035]
59.141	[-0.0011274264522143989, -0.17271166300630786, -0.1461681574695973, -0.048038971813002922, 0.010763875473215685, 0.036690142018147937]
59.397	[0.10128178969788755, -0.15010991536409116, -0.17844574413985001, -0.056277704370768594, 0.049124866184502812, 0.053483869175387132]
59.443	[-0.010213353711523288, -0.20739817337326141, -0.18392369579320669, -0.10534665488711674, -0.058077967156324531, -0.0052979909399691726]
59.606	[0.16998901799528685, -0.20806172821450869, -0.15284272941843821, -0.0040464714521561401, -0.041182917578143893, -0.0083280383717594039]
60.070	[0.14742193074296564, -0.056778956190699531, -0.046427430746377479, -0.027914715573867963, -0.055967357616001578, -0.076272878862244292]
60.209	[0.1404347945003174, 0.011432616031690074, 0.0097307965653729862, 0.001695464140553774, -0.00019435830928592082, -0.0086869301599801878]
60.372	[0.23843826441510474, 0.083761018913543664, 0.096621741882570708, 0.094123275524104599, -0.0086454849143379822, -0.026559935380049374]
60.465	[-0.0045059119425908236, -0.062795443942400608, 0.04006335408266283, 0.048671893374102132, 0.003486046546202996, 0.015260811529770281]
60.720	[-0.0078390952993717868, -0.065195262962534639, 0.062788645963274117, 0.024100138455791346, 0.033408901758282095, 0.07511960738377757]
60.836	[0.04801627727206409, -0.12601052478333191, -0.046428928555061644, 0.038826350314496993, -0.028358385383086902, 0.036830952119285137]
61.092	[0.24882285939065074, -0.17166037392416131, -0.058102287826511591, 0.028626304786654098, -0.0033853161924549068, 0.11516734731387938]
61.185	[-0.065357119440877243, -0.13383027512672016, -0.10784599724830583, -0.015276466656415003, 0.058249311964832816, 0.069124498191841674]
61.440	[-0.023756226640265582, -0.099355244656040717, -0.089137841143188734, 0.026850772374137299, 0.081649924493408202, 0.070939208635463366]
61.510	[-0.058079540533371971, -0.10891354519250751, -0.059482854184394168, 0.024486558142113909, 0.035077931020708351, 0.0078067849133426877]
61.742	[0.16689769125786647, -0.017242633337451709, -0.087323616164412476, 0.063271188043369148, 0.045723671077393849, -0.10185734259058334]
61.997	[0.0099267273155314532, 0.0082743659251442118, 0.040796256340296586, 0.063919066057044505, 0.010688666861091873, -0.024192511534547764]
62.229	[0.26159912034871857, -0.1524673457402618, 0.078975811499568505, 0.13407307534240873, 0.14386159775430571, -0.032986558160929692]
62.369	[-0.0016657980213572569, -0.032328175909644603, 0.0274980522293552, 0.056274977821462062, 0.057093315406007372, 0.031723756606179397]
62.601	[0.013293109249497786, -0.080059748473033099, 0.0058978384837242905, 0.045088834994081263, 0.053269542286977077, 0.051045977615045438]
62.880	[0.046084709727396048, -0.062912858455635379, -0.026123592599937837, 0.038199408959266719, 0.062998124865132329, 0.071263731512517817]
62.973	[-0.0044720817342786207, -0.13470014371120401, -0.071304324136929845, 0.084931865888799266, 0.096242301724149007, 0.017318437070025387]
63.042	[0.050532125110419421, -0.12355479326257705, -0.044301201336782677, 0.094074560150023384, 0.10016843295267468, 0.034752521366543838]
63.576	[0.032236253643835415, -0.087960059394089823, -0.2019973330312633, 0.19118849557279144, 0.21504069031356263, 0.17376389280843624]
63.623	[0.12022761790250008, -0.0052022210921340963, -0.012653078511320814, 0.13105356859941139, 0.01107927165241716, -0.076987627416177928]
63.785	[0.037441725744998863, -0.031982185399830235, 0.032874892489591148, 0.077229388816442396, 0.015098315308801591, -0.063362813548900554]
63.901	[0.052424823934161077, -0.008265664613314537, 0.0082802859090489282, 0.052989768001833026, 0.0016751436064223761, -0.0091220252880323573]
64.087	[0.11491986036296402, -0.081657109844696985, 0.025353058570002928, 0.074859365138655376, 0.059812452516408092, -0.054633873982975333]
64.180	[0.098699253981170243, -0.028046674580312569, -0.030536263173540294, 0.082713608047801479, 0.0034856686675158411, -0.048189999728009185]
64.482	[-0.1295862593130796, -0.043979985867274231, 0.040266151610592264, -0.0093955238623253667, 0.0052390930790203686, 0.013393602669263713]
64.621	[-0.077039332002682079, -0.083697262785271592, 0.017330312142511607, -0.12552750394370157, -0.064124389355710701, 0.12095688788378774]
64.644	[-0.069218464840068245, -0.093644078689555182, -0.022914740621795906, -0.059556538862001081, -0.044996939665912637, 0.0017579652624823774]
64.877	[-0.020928555964567764, -0.1638888266668663, -0.0043033996005050383, -0.027818940560067777, 0.0097961499510728581, 0.040308486316806731]
65.109	[-0.055294142468068359, -0.13885812141110709, -0.056623517097156628, -0.015112191152698224, -0.027062997144132902, 0.024663930945213915]
65.341	[0.10873555940694772, 0.016506935081365002, 0.0099797122705420297, 0.0026739215437926495, -0.016218923599844667, -0.021021105985160552]
65.527	[0.26644369710194066, -0.092197278226961735, 0.084889455954510501, 0.030428770443714746, -0.086425361117792296, -0.036399346050935248]
65.573	[0.059424953794890399, -0.085183780283755284, 0.0098752461592183146, 0.013739300912182313, -0.014653271729855548, -0.029542822898352285]
65.829	[0.01437948851080499, -0.026330479636088328, -0.054863937032303231, 0.018548763909796699, 0.0060815557529146289, -0.030540397302906089]
66.038	[0.056232574791646887, -0.12103378474737964, -0.094065308836099037, -0.03429631738199436, -0.016300782835077063, -0.097107720358586253]
66.200	[-0.20348166144523358, -0.18831909643534381, -0.079438250090763829, -0.018659073733911517, -0.056610158421638648, 0.011197261158985288]
66.339	[0.25942431216855855, -0.25875953821254022, -0.015380672867362569, -0.096945547936370779, -0.068350216351041396, -0.055848969066712342]
66.409	[-0.032757661729923268, -0.1598346172310082, -0.037345337050846736, -0.013726324579880935, -0.019961178223434843, -0.0056958505239603722]
66.548	[-0.089829158892680269, -0.31480415596261557, -0.093129299132618915, -0.011128024121608951, -0.054498521693028303, 0.015324104771988006]
66.641	[-0.036289571264088542, -0.280900554257207, -0.10459817457088075, -0.022259696480271055, -0.016375038950009264, -0.032879256502131894]
66.873	[-0.073199259133463063, -0.14701616133577336, -0.13175987391805619, -0.060500639049871574, -0.015137416748814657, -0.010279242437441431]
67.082	[-0.028576104817608181, -0.15036928822336054, -0.10675259531389809, -0.037695234709750634, 0.027064334856316957, 0.037237425899059727]
67.268	[0.041430057658285266, -0.021287117326022412, -0.007454294457690188, 0.042403323408638852, 0.034143114444905504, 0.008279487007827338]
67.431	[0.13269717731022909, -0.02467270131686956, -0.043516993684987397, 0.0035389742665151306, 0.0033061625674294225, 0.029559564798395766]
67.733	[0.016356931238932518, -0.030577958664240866, -0.018016545720355576, 0.014711489575155279, 0.028933800725928618, 0.0085596285771099481]
67.895	[0.20605475974174686, -0.050279297810767003, -0.042347386671676736, -0.077507673212324699, -0.012306386271631102, 0.06451014654163531]
68.197	[0.071997705093888795, -0.106180311100172, -0.1469465290190782, -0.074956115359144912, 0.012378027721155777, 0.046404805157358411]
68.290	[0.10548920654081037, -0.056308498524638116, -0.099552537130987204, -0.035108110734456209, 0.0098212679307282356, 0.016123219196578019]
68.917	[0.082509925741968818, -0.13679240036787493, -0.16200350352918555, -0.049892668973482296, 0.060265241716126391, 0.057031281772186943]
69.033	[0.31492384577353494, -0.19771499699751954, -0.12069760276751286, -0.058637070693323093, -0.0067675821303966443, 0.02819348259114747]
69.590	[-0.028895430120195562, -0.10760434457379472, -0.094620241592008561, -0.058285858098387433, -0.025085853366736719, 0.029327613721892663]
69.962	[0.14566920242482526, -0.071535294474726105, -0.047743042260920264, -0.019815886593152969, 0.025106068056427233, -0.053294788412842881]
70.821	[0.088355340301152649, -0.007375492043053709, -0.0037410283457768889, 0.023228720032460924, 0.013416584651988224, -0.0034219826666052368]
70.960	[0.024550139712039277, -0.029633651456481846, 0.0040349865249695027, 0.039636454650875452, 0.027829872502221922, -0.015118526226733929]
71.053	[0.050302139984907651, -0.019224230101769452, 0.0072670790966897275, 0.042700213692706587, 0.035854989596522217, -0.02312576537861033]
71.308	[0.12428974095752973, -0.024449487431915561, -0.068253076790986258, 0.06189939039257062, 0.05383485415937507, -0.036774938330338652]
71.471	[0.11080566672038168, -0.067712521944425133, -0.065165098026847085, -0.049154164153478591, 0.025151225319891512, -0.01675130133958434]
71.680	[0.0039432019608618626, -0.091399942949352705, -0.066863876680851267, -0.02531503177665579, -0.0076223036213560911, 0.0078247481516588707]
71.935	[0.036959883450666899, -0.15861713950113501, -0.082912708176360594, 0.0073808843493050379, -0.0019182024964032761, 0.024504319768004837]
72.168	[0.063678304860819226, -0.13735148076913833, -0.11790453665351862, 0.0042729276441611092, 0.013462105732035476, 0.035233128640362689]
72.353	[0.0033613547345307795, -0.15325526365437175, -0.082770602042550961, 0.0076864269641315104, -0.017946710570950573, -0.0059219345497296691]
72.586	[0.060577737170052721, -0.06564747134066351, -0.027609144185842465, -0.0059391377105083784, -0.056409951787691315, 0.0050324101409065219]
72.841	[0.068036782516946059, -0.09193512277340353, -0.041156582537223839, -0.011060578473929973, -0.042404332463906368, -0.053358342354633714]
73.096	[-0.047543632354427968, -0.11607140597359433, -0.03354426799667061, 0.023849297708102891, -0.1122179233360053, -0.061435208713985952]
73.259	[0.10961379576280277, -0.23954246035094065, -0.11217790256813504, 0.037203168299052208, -0.10435274681286316, -0.067829616041020932]
73.421	[0.17850133935463394, -0.20074694584120614, -0.12825509597073106, 0.088049232529973237, -0.073917882980007177, -0.021954678540942307]
73.491	[-0.022253307718956564, -0.15996533704574212, -0.1207021797629345, -0.023516782035984552, -0.050878214421768986, -0.011361220018835778]
73.723	[0.19220370147221785, -0.25467997197002951, -0.10496166625320547, -0.065357318542474702, -0.043963141981100635, 0.02147208056409845]
73.839	[0.0085240315376448848, -0.097336819490248139, -0.086106787078715483, -0.081603215329113812, -0.038773236214663082, 0.022492004787400731]
73.979	[0.048271536666213782, -0.12592833306223872, -0.11975216448671101, -0.074843759608911167, -0.037703832753734824, -0.014769717446258265]
74.211	[-0.0433175147626811, -0.2217035837470116, -0.19665694343542034, -0.088736273895388615, -0.018067210233710759, -0.049493865896163017]
74.350	[0.046670621868261652, 0.029581888601809832, 0.038108039377127277, 0.015940915246327632, -0.011019577672753583, -0.0059800012978374019]
74.466	[0.069726451159962274, -0.037737788247964289, 0.057437042627111835, 0.013546295753349665, -0.021162595301412287, 0.034367768666769702]
74.629	[0.06562930117069854, -0.063510994260728648, 0.043684176162093441, 0.071094768489316257, -0.01255718880892571, 0.034951985302631682]
74.815	[0.12914420092644993, -0.11522900052805748, 0.041358676860126203, -0.0051989439879002322, -0.0036710998077029988, 0.092443459710161865]
74.954	[0.22972868794444226, 0.013985721660711126, 0.037413704298201671, -0.07430133637272146, -0.041269786382095636, 0.080437761100510999]
74.977	[0.064954856901701205, -0.072936185072336943, -0.059481536448521111, 0.0064506349620152385, 0.00071432736562107438, 0.051529102082346595]
75.256	[0.20296979885105948, -0.20814474368726449, -0.048164465043604908, 0.064085503730844415, 0.038784170447180522, 0.037309940316690007]
75.372	[-0.05093642097537647, -0.07708601057467751, -0.056196712019750607, -0.026441020289058433, 0.051418281313628349, 0.068779778048050647]
75.558	[0.13566589545239016, -0.14469612030396209, 0.026561456038495204, 0.014899011475378969, 0.10470144677732654, 0.070967395998396007]
75.767	[0.12691151732383127, -0.17895858514763152, -0.072969121340075133, 0.030446087218500589, 0.06863141975810455, -0.00088859780459406052]
75.836	[0.058626214395201194, -0.24544501139438965, -0.071531040655736275, 0.11247796297441952, 0.0074983770203401728, 0.076242061762049174]
75.906	[-0.034128237307293162, -0.12754216705585961, -0.018194114670697471, 0.055121365830955636, 0.0072987496508169587, -0.010926507609415078]
76.022	[0.067028762460677072, -0.032000494660386035, 0.030415184972048696, 0.061775711840991898, 0.050837847329951148, 0.021244048333716039]
76.231	[0.084713178408303905, 0.032700571687084415, 0.087614680226539288, 0.092593473624777128, 0.027725122828333591, 0.015257907428090099]
76.324	[0.0054077259006536701, 0.014161801501931024, 0.052077805845792101, 0.068395762191370238, 0.061713502404544575, 0.037981854323637335]
76.510	[0.090897090756449833, 0.029181266166858778, 0.07324116484237686, 0.095240307591807655, 0.083438247312849767, 0.10324592849439605]
76.603	[0.14928239958339395, -0.13572545449611761, 0.14850369042831491, 0.074469869435055666, 0.1117502098409878, 0.020169887989597408]
76.881	[0.080167688460132502, -0.16789302390764568, -0.068137558184235419, 0.10031251162472948, 0.096421718134325596, 0.01486461456485578]
77.021	[0.15507778798289149, -0.058038281782323523, -0.036711179295513048, 0.045957757982298286, 0.064633012862094663, 0.040844618811997239]
77.067	[0.09664295062635983, -0.10976580561431183, -0.037300484389229123, 0.095382183553797753, 0.10489906719403674, 0.034207413162032706]
77.322	[-0.040770901633189013, -0.090703527799668046, -0.028610598492503685, 0.040126885569696666, 0.056362182992390576, 0.017920171898019449]
77.485	[0.058362646862909075, 0.0036920183464289155, -0.010633661319980095, 0.021581347845422809, 0.038616256904354961, 0.01701107982931218]
77.926	[0.27046282872943783, -0.10483450332135937, 0.067757466108896186, 0.079014485135949039, 0.022735338257089125, -0.092891128085571789]
77.996	[0.025079704349948891, -0.037800358474425741, 0.041322871306788543, 0.06709122472612776, -0.011151410858494871, -0.032242732525383601]
78.112	[0.025799832943019293, -0.1195722565557813, 0.029883275636205426, 0.040641147107995004, 0.00033060078333057029, -0.022636308688864026]
78.414	[0.12451720328960089, -0.15083123189620073, -0.035237037371795822, 0.065558363875746109, 0.032882504571976834, -0.024294778893201762]
78.553	[0.0020198841474551245, -0.07747430006492427, -0.010998209245679322, -0.025608683586328305, -0.016213608982002675, 0.01562106915606863]
78.785	[0.043827210985631117, -0.12586405454335364, -0.017321968562668533, -0.021287138004789874, -0.033787191719673308, -0.010958484402922778]
79.018	[0.042782792214295387, -0.1901219346865769, -0.05291775472993529, -0.0026566487000619756, -0.026694700468417144, 0.0099485515253701032]
79.180	[0.038874766490767709, -0.15269568087343097, -0.057867904805448879, 0.017690993343350912, 0.0029765372143865368, 0.014010448440671305]
79.435	[-0.072788756242246011, -0.089729989204615335, -0.056799227426685868, -0.0038367361170779947, 0.042910434194886514, -0.010713234769795448]
79.668	[0.060124022279232789, -0.0639974073137584, 0.011779504492175689, 0.00046359605746468512, -0.013236196684954698, -0.024572777177402069]
79.807	[-0.035688656243717053, -0.12465911274062917, -0.00060559133137778073, 0.0031089778850329213, -0.022655257090502687, 0.058218592102231341]
79.946	[-0.022536726168736417, -0.11492385873864042, -0.0078579206374835651, -0.012460987306660778, 0.014513195185331803, 0.010265697016707022]
80.132	[0.0057356854911992383, -0.070912744677425019, -0.056644619147268871, 0.002613465660788814, 0.032507961400894431, 0.010475731581086211]
80.364	[0.054104579559012954, -0.20697353726192833, -0.12560545174550364, -0.011401566887292434, -0.0075674106555959483, -0.022396294245138615]
80.504	[0.0084150033997516874, -0.19171084056837334, -0.061614942450415711, -0.063790464421566634, -0.021447692350281006, 0.016618721439140848]
80.573	[-0.10808697845350276, -0.19480816218374553, -0.11315116446214016, -0.052783970427802127, -0.017090321724007838, 0.069830077117592274]
80.689	[-0.028000521014967479, -0.21961973265645762, -0.10687070806585125, -0.05426323208183096, -0.025071354709751397, 0.038773224078707667]
80.991	[0.16492953248938869, -0.20955245094215655, -0.27359043661965377, -0.026975501959747319, -0.038283014792201954, -0.020024473241297629]
81.131	[-0.016536623147934023, -0.19564054227194622, -0.18225889641852538, -0.086148823837528907, -0.019294602110289626, 0.023030001842410594]
81.386	[0.054324138270530876, -0.023759003831240594, -0.031574363384130603, 0.0014275960752904502, 0.03507944605888895, 0.036034248166084297]
81.688	[0.12635933514897821, -0.0061063076413739479, -0.024807973839545045, -0.0084274599091289197, -0.015601609931521321, 0.053637405912082235]
81.781	[0.20905994951570195, -0.010440802547824483, -0.11090713194267525, 0.01924351284415218, 0.046072285059231444, 0.0058140641814437991]
81.920	[0.078698266558147711, -0.096977049773412441, -0.042239950754731609, -0.0012208320574096554, -0.010421842005335673, 0.016643161831658287]
82.013	[0.078853774331828275, -0.040723016967310115, -0.086703466993630754, -0.010833246233293988, 0.00031945710768897079, -0.00092419598000348792]
82.268	[0.31652535931409209, 0.013298856917124459, -0.14165626730564879, -0.11347010922709688, -0.032774641046666796, 0.041136022602814154]
82.292	[0.13410683779593904, -0.086123612747285042, -0.15049988421375188, -0.11100568925860151, 0.0030039125092103636, 0.06619320577156057]
82.408	[0.32685205830557079, -0.31702722254171578, -0.11568208477025002, -0.16327997759506135, -0.0374512114123167, 0.098368118530420642]
82.524	[0.10019265887646947, -0.011048864050625691, -0.070540043288086635, -0.039311185501436766, 0.00079089916997505732, 0.0050656397569680085]
82.779	[0.065490329118439938, -0.039510582891444698, -0.024738215504401528, 0.016685147634255864, 0.017103463016027949, 0.031377476042094704]
82.895	[0.15205644948305233, -0.007677851016575343, -0.075112169968732115, -0.017021600888993307, 0.019530823381330376, -0.018177805302524195]
83.104	[0.042090409873533262, -0.024290052894318667, -0.02219767907046032, -0.0074912893177527667, -0.001468388141086232, 0.023714814266978891]
83.406	[0.11909436535144714, -0.0082396429855383525, -0.031652338351925005, 0.024368706562249078, 0.062171377214984204, 0.031878708818805043]
83.476	[0.12922364973284711, 0.0097997980367912005, -0.022888261378477413, -0.02552547691273644, -0.014581980451630165, 0.0063456626686863356]
83.731	[0.11192932515115468, 0.022108077736784956, -0.025485664521188552, -0.019300692342673537, 0.02973982931442215, 0.044878809257775355]
83.801	[0.32440291439096447, -0.13965005624892765, -0.071538952228161312, -0.043771238328199992, -0.023265041014625235, -0.014575613741436271]
84.010	[0.38711362703561564, -0.071266437093188625, -0.10163112946986069, 0.035551364196491901, 0.039587257251386967, -0.015059811498360751]
84.335	[0.11330260433522535, -0.015939234967248427, -0.047181758033053418, -0.033126501858185622, -0.0093667382452187649, 0.0015681962154334773]
84.405	[0.20703556639610396, -0.10442608543266338, -0.15281634627205218, -0.010316950846436563, 0.030792510852869159, -0.013203888710662961]
84.497	[0.058384641982948557, -0.041435950258238784, -0.039378819990269945, 0.0063705769344482204, 0.023516815323908362, -0.026980454771304726]
84.776	[0.03944757780334697, -0.031304731944639869, 0.015100504083396958, 0.071549746875464962, -0.0045029388969406422, -0.023365261634605533]
85.008	[0.025744172027539997, -0.016120880603687677, 0.086540890226459374, 0.06303145215109332, -0.0010892003682520985, -0.013202190285133966]
85.124	[0.06077002074949997, -0.07261311321439011, 0.083730737772919034, 0.051252340009898034, -0.0089726776545550752, -0.031764025502913795]
85.380	[0.16707879111745877, -0.28183617743430334, 0.015087461839596644, 0.12641563197390265, -0.11912265496411313, 0.021425543870693554]
85.449	[0.1281667955039727, -0.099780585575092215, -0.021594969328056018, 0.075411653314936891, -0.00026459375142088692, -0.03978304325274086]
85.635	[0.078741917825079208, -0.096038946127592867, -0.028741804654084373, 0.00011685499766771674, 0.007130286057975041, 0.035829976144282849]
85.867	[0.091276023970307388, -0.14965199060912082, -0.057295177827802517, 0.00049803812951274018, -0.070678277756005201, 0.043531209912223985]
85.983	[-0.046401861149985124, -0.11052667365769139, -0.004529241306879689, 0.0058642204662849844, -0.019710133155526721, 0.021930599481390596]
86.030	[0.084973419417389187, -0.1781301841588922, -0.061511386859423998, 0.018421325629717895, -0.096869042806336861, -0.018513106440510636]
86.146	[0.10695402876200151, -0.14932400578229599, -0.10634567025079356, -0.044492760024209349, 0.0072169882713035366, -0.034882112770503931]
86.332	[0.11995663277216501, -0.11778268176056532, -0.13852301956840374, -0.024960116790354991, 0.040895680230732215, -0.048711707069193144]
86.471	[0.1423359384860951, -0.16990764909619477, -0.12024034375279788, 0.03645818834622349, 0.0033447673993973223, -0.052391647391304599]
86.610	[0.05770391270234082, -0.22317191281467949, -0.065384858659612827, 0.033505556303491411, -0.095983199759956464, -0.026646656636752353]
86.750	[0.075881874080948791, -0.0018013974293688132, 0.032678206824361018, -0.069180163270673847, -0.087026701694970496, -0.040659278191916066]
86.819	[0.057196868956629884, -0.010972962050848785, 0.018001293373628598, -0.04199222034767127, -0.02976611169321914, -0.037382708137842606]
87.052	[0.12218154622955196, -0.13630145378008041, 0.029209833805024676, 0.032704000437244085, -0.08343581162983997, 0.0089885857909136769]
87.214	[0.099815254888992275, -0.21364780414202017, -0.022408279787771299, 0.036186969285737523, -0.098164700889478429, -0.014195488768710343]
87.353	[-0.0039815994975284843, -0.11826399835940191, -0.06478174723527752, 0.011031864859722396, -0.039383921816598083, -0.045710812211475042]
87.609	[0.027058571369688488, -0.14226390035726857, -0.13575100869068743, -0.040255795923088214, -0.00060480914356303146, -9.9494362036621473e-05]
87.725	[0.077354755396802019, -0.18518259355885913, -0.12576694841751807, -0.056360465740065202, -0.099837804720706053, -0.01608848521670701]
88.305	[0.035392735525658782, -0.25617293540012176, -0.050556641886467503, -0.020679887538931074, -0.081194167132536008, 0.03715960885690759]
88.514	[0.037813493377313587, -0.0074632927559462924, 0.077423762206215579, 0.027312778270579267, -0.018144364890491347, -0.01088513539773988]
88.631	[0.077574339612564061, -0.0045839261819400571, 0.071511991879639719, 0.00094117113714274028, 0.019571255247205124, 0.010747579216193395]
88.700	[0.063429007350043073, -0.045994601015460899, 0.048554611345642228, 0.037295784292839716, -0.012600947687270957, 0.01855722245313798]
88.956	[0.012304913232461082, -0.029947479798495893, 0.064583264720361994, 0.085872502720297575, -0.0064206839348055038, 0.049818372114813013]
89.072	[0.067207031349525853, -0.12123938115528515, -0.045395611362113002, 0.082568058685133838, -0.0491179752657619, 0.052517955231841967]
89.304	[0.057853905713441615, -0.10421044581051335, -0.041907363867714535, 0.021652456136055046, 0.052548733550683402, 0.058085807631381638]
89.397	[0.061332814418600202, -0.073689860954275849, -0.06661319395983499, -0.0021755874385206058, -0.010305497399275269, 0.078250553039939885]
89.513	[0.010489272738024268, -0.15953325247075509, -0.097746295072661776, 0.020736761862948871, 0.029960709615613468, 0.11085265557783493]
89.699	[0.16604325638889195, -0.11904257050070044, -0.038476051831356793, 0.057945524894864035, 0.0056480664209519844, 0.073046601664264438]
89.838	[0.040452505620578838, -0.10036753121561214, -0.075414086744980513, -0.0070288514276692611, 0.088530703856263715, 0.053157066166051203]
89.977	[0.043280259861282679, -0.10591519145147367, -0.13088907895053473, 0.13109392257531244, 0.063211280756187233, 0.04669559398465218]
90.279	[0.21667180458129895, 0.095197584094636023, -0.024279277134492027, 0.019464384254251722, 0.0016407216196953169, -0.049949414258946175]
90.326	[0.17341770761298542, 0.0013870442088855562, -0.051111606004413682, 0.023097580856689368, 0.11216791846711281, -0.058299199256796899]
