time	ZC
90.767	0.293
91.022	0.140
91.254	0.190
91.510	0.142
91.765	0.337
91.997	0.181
92.021	0.119
92.253	0.212
92.508	0.083
92.764	0.269
93.019	0.094
93.251	0.237
93.507	0.133
93.576	0.132
93.762	0.317
94.018	0.168
94.273	0.214
94.505	0.127
94.761	0.334
95.016	0.275
95.132	0.180
95.271	0.196
95.527	0.139
95.759	0.300
96.015	0.134
96.270	0.222
96.525	0.137
96.758	0.546
96.781	0.224
97.013	0.100
97.268	0.234
97.524	0.143
97.756	0.414
97.895	0.129
98.011	0.108
98.267	0.161
98.499	0.047
98.638	0.152
98.754	0.269
99.010	0.123
99.265	0.188
99.521	0.222
99.753	0.234
100.008	0.201
100.032	0.119
100.264	0.164
100.519	0.129
100.751	0.218
101.007	0.108
101.262	0.200
101.518	0.114
101.750	0.289
101.773	0.300
102.005	0.113
102.261	0.220
102.377	0.154
102.516	0.192
102.609	0.209
102.772	0.286
103.004	0.203
103.259	0.426
103.282	0.144
103.515	0.358
103.770	0.251
104.002	0.158
104.258	0.213
104.513	0.146
104.768	0.526
105.001	0.261
105.024	0.156
105.256	0.299
105.535	0.165
105.767	0.320
105.999	0.097
106.255	0.232
106.510	0.070
106.649	0.206
106.765	0.298
107.021	0.145
107.276	0.185
107.532	0.103
107.764	0.390
108.019	0.092
108.251	0.341
108.275	0.200
108.507	0.136
108.762	0.272
109.018	0.153
109.273	0.241
109.505	0.122
109.761	0.404
109.900	0.168
110.016	0.154
110.272	0.326
110.504	0.438
110.759	0.457
111.015	0.556
111.270	0.155
111.502	0.614
111.525	0.150
111.758	0.360
112.013	0.106
112.268	0.220
112.501	0.124
112.756	0.239
113.012	0.189
113.058	0.080
113.267	0.207
113.522	0.090
113.755	0.259
114.010	0.175
114.265	0.492
114.521	0.074
114.567	0.094
114.753	0.277
114.776	0.248
115.008	0.106
115.264	0.134
115.519	0.128
115.751	0.330
116.007	0.097
116.262	0.237
116.402	0.128
116.518	0.065
116.750	0.252
117.005	0.096
117.261	0.188
117.516	0.119
117.772	0.269
118.004	0.289
118.027	0.166
118.259	0.549
118.515	0.137
118.770	0.300
119.002	0.205
119.258	0.136
119.513	0.098
119.583	0.151
119.769	0.444
120.001	0.176
120.256	0.254
120.512	0.162
120.767	0.282
120.999	0.149
121.255	0.514
121.278	0.209
121.580	0.176
121.765	0.294
122.021	0.188
122.276	0.155
122.508	0.156
122.764	0.312
122.903	0.250
123.019	0.140
123.275	0.144
123.530	0.131
123.762	0.704
124.018	0.123
124.250	0.253
124.505	0.205
124.529	0.114
124.761	0.281
125.016	0.334
125.272	0.258
125.550	0.174
125.759	0.313
126.015	0.151
126.061	0.221
126.270	0.251
126.502	0.132
126.758	0.385
127.013	0.222
127.269	0.189
127.524	0.238
127.756	0.320
127.988	0.450
128.012	0.301
128.267	0.233
128.499	0.177
128.755	0.459
129.010	0.425
129.265	0.247
129.498	0.237
129.521	0.137
129.753	0.768
129.892	0.265
130.009	0.268
130.264	0.625
130.519	0.138
130.752	0.275
131.007	0.217
131.030	0.104
131.262	0.192
131.518	0.231
131.750	0.258
132.005	0.158
132.261	0.221
132.516	0.145
132.748	0.249
132.772	0.378
133.004	0.160
133.259	0.311
133.515	0.159
133.584	0.183
133.770	0.334
134.002	0.157
134.258	0.353
134.374	0.168
134.513	0.223
134.769	0.293
135.001	0.206
135.256	0.195
135.512	0.276
135.767	0.270
135.999	0.165
136.022	0.133
136.231	0.257
136.255	0.232
136.510	0.130
136.766	0.353
137.021	0.139
137.253	0.258
137.509	0.289
137.532	0.151
137.764	0.308
138.019	0.141
138.275	0.154
138.507	0.137
138.762	0.305
139.018	0.144
139.250	0.494
139.273	0.177
139.529	0.137
139.761	0.381
140.016	0.093
140.249	0.197
140.504	0.077
140.759	0.337
140.899	0.194
141.015	0.110
141.270	0.201
141.526	0.102
141.758	0.219
142.013	0.218
142.269	0.610
142.292	0.610
142.524	0.117
142.756	0.372
143.012	0.162
143.267	0.296
143.523	0.096
143.569	0.106
143.755	0.345
144.010	0.205
144.033	0.088
144.266	0.164
144.567	0.122
144.753	0.239
145.009	0.108
145.264	0.228
145.519	0.083
145.752	0.250
145.891	0.154
146.007	0.103
146.262	0.195
146.518	0.110
146.750	0.287
147.006	0.120
147.261	0.450
147.284	0.171
147.516	0.174
147.772	0.371
148.004	0.095
148.259	0.189
148.515	0.085
148.770	0.253
149.002	0.189
149.026	0.082
149.258	0.218
149.513	0.104
149.769	0.241
150.001	0.145
150.256	0.551
150.512	0.072
150.558	0.113
150.767	0.293
150.999	0.113
151.255	0.142
151.510	0.112
151.766	0.351
152.021	0.085
152.160	0.300
152.276	0.172
152.509	0.093
152.764	0.268
153.020	0.111
153.252	0.223
153.530	0.026
153.646	0.290
153.763	0.389
153.879	0.266
154.018	0.206
154.273	0.245
154.506	0.201
154.668	0.272
154.761	0.312
155.016	0.192
155.272	0.175
155.318	0.171
155.527	0.159
155.759	0.332
156.015	0.182
156.270	0.246
156.526	0.122
156.758	0.315
157.013	0.171
157.060	0.122
157.269	0.245
157.571	0.137
157.756	0.337
158.012	0.168
158.267	0.505
158.499	0.114
158.755	0.398
158.894	0.221
159.010	0.255
159.266	0.211
159.521	0.157
159.753	0.326
160.009	0.185
160.264	0.252
160.496	0.213
160.520	0.209
160.775	0.328
161.007	0.188
161.263	0.287
161.518	0.187
161.773	0.397
161.890	0.276
