time	loudness	tempo	key	mode
0.000	-16.722	120.416	5	0
8.535	-12.795	119.986	5	0
70.537	-10.877	120.043	10	1
86.527	-9.606	119.879	8	1
107.038	-11.562	119.962	10	0
129.038	-8.513	120.222	8	1
139.539	-11.464	120.035	10	0
155.023	-9.624	119.567	10	0
166.534	-11.576	120.071	10	1
201.006	-9.365	120.287	10	1
219.011	-10.571	120.058	5	0
249.039	-8.383	120.814	10	1
262.043	-11.282	120.044	5	0
295.540	-11.446	119.967	10	0
312.541	-9.453	120.076	10	1
351.544	-20.792	120.169	0	1
