MFCC	ZC	time	noteName	noteMIDI	noteKey	noteOctave	chordName	chordKey	chordMode	chordNotes	RMS
[0.070839273308491782, 0.09368126601844888, -0.086357716561198394, -0.048526318166450158, -0.011318656102970356, -0.038612367714732795, 0.044082042928412883, -0.01053139609351916, -0.0028839497823595619, -0.010806229902139848, -0.013244154191337818, -0.052112561947693606]	0.247	6.641	G#	44	8	2	Ab	8	1	[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]	0.128
[0.077051852561340256, 0.1536720391301333, 0.12371071808823346, -0.043251771493397782, 0.0028540188710627942, -0.087030971453304393, -0.061323933646249287, 0.044646598660632739, 0.026580623244056804, 0.14751785699741196, 0.028949943251547552, -0.013065530146854503]	0.179	6.896	C	36	0	2	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.223
[0.097573262068124486, 0.03889872179222198, 0.016188343872791174, -0.029183450047518791, -0.02207557692572594, -0.023709967454347357, -0.024801259834188006, -0.0022553286717499816, 0.001899331192763765, 0.011978585415507554, 0.0053558190464905609, 0.010892735570449667]	0.181	6.989	F	41	5	2	F#	6	1	[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]	0.246
[-0.012029761224908888, 0.033544906811412589, 0.017868678292847214, -0.029305809621972968, -0.049002594491569615, -0.022447032477029397, -0.019551059535619336, -0.021292155896263314, -0.012584104937616891, -0.036354205171069229, -0.029959062154841145, 0.04360893459345673]	0.449	7.268	F	41	5	2	F#	6	1	[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]	0.141
[-0.76385843183684454, -0.033206684056204971, 0.042327973197894379, -0.079627943930864239, 0.10720035769000272, -0.15656350385349285, 0.04464546797814984, 0.028967704650017845, -0.03777845785981078, -0.02357646716517699, -0.010541652430281809, -0.0036372626715720081]	0.760	7.755	A	93	9	6	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]	0.095
[-0.078516762210802962, 0.043984711074194729, 0.066914482267737094, 0.041352709521048255, 0.021159423865872183, -0.048793200300455697, 0.010512167802831662, -0.0013757759315199515, 0.015903016466603408, 0.0080532579776418263, -0.0043251688623198491, 0.016528090950885886]	0.143	8.011	C	36	0	2	Bm	11	0	[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]	0.208
[0.060562871594669034, 0.065945676314485571, 0.061268471866214161, 0.023444029912310926, -0.023879135129632835, 0.023582181723844686, -0.0075278218180979163, -0.010849413461339332, 0.013707577906608493, 0.0036073433759989124, -0.021614015320517738, 0.030402070735553437]	0.139	8.243	C	36	0	2	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]	0.158
[0.10122602990623157, 0.068328400516686344, 0.059930500146279923, 0.0057681312111881496, -0.037487658478449933, 0.057737445532019573, 0.0013967605463193575, 0.041508641092476019, -0.0070014074138059863, -0.016206122933413763, -0.0044314864807585546, -0.0078181373879653657]	0.301	8.754	C	36	0	2	D	2	1	[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]	0.216
[0.13986886729190517, 0.3845053512007105, 0.1484733198993157, -0.22482187121468761, 0.070173461912090701, -0.10416037309809131, -0.03085026051285069, -0.024965715734266196, -0.035384747862893758, -0.00096997027744582197, 0.021099362273389925, 0.042082246336173648]	0.068	8.986	F	41	5	2	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.231
[-0.02887053539232903, 0.034103118076226444, 0.088143236923260468, -0.04733458683765409, 0.043834599506260681, -0.037556280635024815, -0.0044506526402042822, -0.019415389805003576, -0.0026074223527095268, 0.0097476062760141792, -0.039306939973836268, -0.011976332285266924]	0.207	9.009	G#	44	8	2	B	11	1	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]	0.190
[0.13788003795073717, 0.084243294728618759, 0.1087057839778971, -0.043334684691467847, 0.025302790119094108, -0.050107873143625491, -0.049149503165002613, -0.032653227581017838, -0.0073375518476310525, 0.016786041795626733, 0.0093024057318664491, 0.021169642836976709]	0.187	9.242	D	38	2	2	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]	0.175
