time	type
266.536	2
267.037	1
267.538	1
268.039	1
268.539	2
269.038	1
269.539	1
270.040	1
270.540	2
271.040	1
271.539	1
272.039	1
272.539	2
273.038	1
273.538	1
274.037	1
274.537	2
275.035	1
275.533	1
276.032	1
276.532	2
277.032	1
277.533	1
278.034	1
278.535	2
279.037	1
279.537	1
280.032	1
280.519	2
281.005	1
281.492	1
281.979	1
282.468	2
282.962	1
283.460	1
283.960	1
284.459	2
284.959	1
285.459	1
285.957	1
286.451	2
286.945	1
287.443	1
287.943	1
288.442	2
288.941	1
289.440	1
289.942	1
290.446	2
290.949	1
291.455	1
291.966	1
292.480	2
292.995	1
293.507	1
294.017	1
294.530	2
295.038	1
295.540	1
296.039	1
296.538	2
297.037	1
297.538	1
298.038	1
298.538	2
299.039	1
299.541	1
300.041	1
300.540	2
301.039	1
301.538	1
302.038	1
302.539	2
303.038	1
303.539	1
304.040	1
304.541	2
305.041	1
305.541	1
306.042	1
306.542	2
307.040	1
307.538	1
308.038	1
308.538	2
309.037	1
309.537	1
310.038	1
310.541	2
311.042	1
311.541	1
312.040	1
312.541	2
313.041	1
313.539	1
314.037	1
314.537	2
315.038	1
315.538	1
316.037	1
316.537	2
317.038	1
317.540	1
318.042	1
318.541	2
319.040	1
319.541	1
320.041	1
320.540	2
321.040	1
321.541	1
322.043	1
322.543	2
323.042	1
323.541	1
324.040	1
324.538	2
325.037	1
325.537	1
326.037	1
326.536	2
327.037	1
327.537	1
328.036	1
328.534	2
329.033	1
329.532	1
330.031	1
330.531	2
331.030	1
331.530	1
332.031	1
332.532	2
333.035	1
333.539	1
334.042	1
334.544	2
335.044	1
335.545	1
336.045	1
336.544	2
337.043	1
337.542	1
338.042	1
338.540	2
339.036	1
339.532	1
340.031	1
340.531	2
341.033	1
341.535	1
342.036	1
342.538	2
343.039	1
343.537	1
344.035	1
344.533	2
345.033	1
345.535	1
346.038	1
346.540	2
347.040	1
347.540	1
348.039	1
348.538	2
349.038	1
349.538	1
350.039	1
350.541	2
351.043	1
351.544	1
352.044	1
352.543	2
353.043	1
353.543	1
354.043	1
354.543	2
355.038	1
355.533	1
356.032	1
356.531	2
357.032	1
357.534	1
358.040	1
358.549	1
359.052	1
359.550	1
