time	chordName	chordKey	chordMode	chordNotes
19.017	F#m	6	0	[0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]
19.273	E	4	1	[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]
19.505	D	2	1	[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]
19.760	G	7	1	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]
20.016	B	11	1	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
20.248	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
20.271	F#m	6	0	[0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]
20.503	F#	6	1	[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]
20.759	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]
21.014	B	11	1	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
21.269	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
21.502	Bbm	10	0	[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]
21.757	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
21.896	B	11	1	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
22.013	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]
22.268	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]
22.500	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
22.639	Abm	8	0	[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]
22.756	Bm	11	0	[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]
23.011	F#	6	1	[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]
23.266	F#m	6	0	[0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]
23.499	C	0	1	[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]
23.522	D	2	1	[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]
23.754	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
24.009	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]
24.265	G	7	1	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]
24.520	D	2	1	[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]
24.752	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
25.008	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
25.031	D	2	1	[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]
25.263	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
25.519	D	2	1	[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]
25.751	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
26.006	F#	6	1	[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]
26.262	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
26.517	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
26.564	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
26.773	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
27.005	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
27.260	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
