time	chroma	timbre	dB
8.080	[0.395, 0.119, 0.049, 0.046, 0.189, 1.0, 0.21, 0.024, 0.023, 0.11, 0.036, 0.088]	[50.498, 45.171, -23.567, -16.737, -10.739, -22.424, 6.591, -43.501, -10.263, 9.948, -14.368, -13.875]	-14.716
8.336	[0.124, 0.107, 0.285, 0.087, 0.045, 0.078, 0.301, 1.0, 0.16, 0.039, 0.039, 0.102]	[51.911, 80.599, -41.972, -1.932, -17.672, -49.064, 5.173, -21.673, -15.713, 4.157, -1.068, -14.667]	-11.129
8.580	[0.026, 0.035, 0.151, 0.034, 0.029, 0.056, 0.254, 1.0, 0.363, 0.051, 0.045, 0.045]	[50.095, 140.941, -84.637, -40.912, -1.745, -33.248, 2.455, 3.896, -21.352, -0.863, -16.327, -2.194]	-11.879
8.812	[0.213, 0.018, 0.041, 0.049, 0.034, 0.025, 0.251, 0.08, 0.033, 0.046, 0.124, 1.0]	[54.264, 107.062, -16.145, -31.481, -6.585, -31.587, -38.021, -1.901, 4.888, 1.044, -10.825, -7.019]	-13.548
9.199	[0.088, 0.105, 0.102, 0.085, 0.294, 0.105, 0.096, 0.082, 0.137, 1.0, 0.178, 0.066]	[54.209, 155.102, 19.81, -38.112, -43.778, -11.728, 0.595, -8.04, 12.127, 9.968, -0.361, 3.57]	-10.538
9.729	[0.183, 0.111, 0.068, 0.118, 0.143, 0.079, 0.135, 0.132, 0.827, 1.0, 0.233, 0.119]	[53.847, 129.094, -9.043, -12.185, -3.043, -33.8, -28.132, 7.49, -7.597, -9.756, -9.527, -2.284]	-7.888
9.956	[0.121, 0.108, 0.04, 0.098, 0.687, 0.067, 0.043, 0.093, 0.417, 1.0, 0.408, 0.117]	[51.615, 67.242, 2.198, -16.553, -27.072, -30.317, 0.645, -39.041, -13.82, 24.357, -4.595, -3.189]	-10.166
10.194	[0.453, 0.458, 0.164, 0.228, 0.276, 0.425, 0.237, 0.183, 0.913, 1.0, 0.159, 0.178]	[50.968, 91.302, -33.02, 3.046, -2.057, -69.91, 11.959, -16.235, -19.041, 4.874, -17.55, -2.891]	-10.042
10.420	[0.166, 0.1, 0.043, 0.091, 0.217, 0.079, 0.069, 0.056, 0.523, 1.0, 0.162, 0.11]	[49.218, 156.914, -41.128, -28.405, 40.935, -44.616, -9.904, 0.987, 3.162, -4.563, -3.347, 3.528]	-13.602
10.640	[0.362, 0.179, 0.08, 0.219, 0.597, 0.196, 0.252, 0.185, 0.49, 1.0, 0.362, 0.3]	[48.488, 101.075, -64.973, 57.656, 42.215, -16.241, -33.103, 22.947, -21.488, 3.848, -11.056, 8.856]	-12.731
