time	loudness	tempo	key	mode
0.000	-7.169	129.964	9	0
20.845	-4.981	129.828	4	0
50.367	-5.227	129.938	7	1
78.071	-4.680	129.907	9	0
92.835	-4.969	130.319	9	0
110.362	-12.588	130.025	2	1
123.298	-4.953	129.815	4	0
153.752	-5.662	129.978	7	1
181.457	-4.890	129.853	9	0
