time	chroma	timbre	dB
9.755	[0.055, 0.044, 0.041, 0.078, 0.043, 0.075, 0.065, 0.269, 1.0, 0.111, 0.035, 0.036]	[36.055, 94.192, -50.829, 39.119, -53.375, 7.97, -11.379, -32.469, -42.155, -20.149, -19.761, -6.244]	-24.743
10.257	[0.069, 0.056, 0.011, 0.042, 0.02, 0.154, 0.346, 0.205, 1.0, 0.066, 0.06, 0.051]	[39.585, 136.669, -3.617, -42.14, -57.422, -8.643, -32.335, 1.188, -60.138, -19.597, 0.352, 0.688]	-30.662
10.513	[0.019, 0.044, 0.115, 1.0, 0.207, 0.085, 0.214, 0.045, 0.1, 0.105, 0.32, 0.016]	[41.206, 72.192, -64.475, -17.877, -39.353, -9.632, -33.413, -39.835, -41.486, 25.202, -10.93, -1.408]	-21.417
10.977	[0.051, 0.254, 0.052, 0.597, 0.186, 0.032, 0.096, 0.337, 0.422, 0.38, 1.0, 0.092]	[43.168, 57.371, -25.369, -63.931, -22.935, 14.654, -48.88, 19.069, -22.72, -29.961, 12.075, -20.429]	-22.976
11.285	[0.03, 0.088, 0.03, 0.166, 0.065, 0.129, 0.204, 0.559, 0.252, 0.262, 1.0, 0.085]	[43.506, 102.7, -66.404, 33.239, -16.136, -26.423, -41.871, -15.33, -43.945, -4.118, -22.871, -0.945]	-16.924
11.594	[0.345, 1.0, 0.799, 0.859, 0.572, 0.566, 0.073, 0.093, 0.474, 0.284, 0.897, 0.346]	[34.72, 40.66, -26.176, -39.976, -18.167, -22.16, -47.003, -24.749, -30.798, 13.162, -3.84, -5.062]	-26.998
11.754	[0.023, 0.095, 0.023, 0.159, 0.052, 0.03, 0.111, 0.407, 0.53, 0.14, 1.0, 0.352]	[43.161, 94.109, -4.287, -46.696, -33.037, 23.109, -38.2, 15.744, -55.513, 2.052, 13.533, 3.275]	-26.021
12.045	[0.022, 0.031, 0.045, 0.305, 1.0, 0.27, 0.037, 0.032, 0.229, 0.043, 0.082, 0.238]	[45.654, 126.431, -17.252, 34.855, -56.501, -23.364, -21.875, -22.63, -69.82, 11.063, -0.776, 17.563]	-19.767
12.515	[0.167, 0.133, 0.057, 0.412, 1.0, 0.263, 0.19, 0.734, 0.821, 0.142, 0.563, 0.618]	[42.207, 121.256, -23.254, -32.839, -55.461, -10.769, -40.578, -3.298, -43.392, -7.473, -1.808, 4.446]	-20.311
12.755	[0.037, 0.03, 0.08, 0.292, 1.0, 0.334, 0.142, 0.406, 0.432, 0.067, 0.072, 0.203]	[39.184, 103.981, -52.406, 42.244, -52.511, 6.619, -38.857, -2.167, -26.385, -11.297, -40.979, 7.769]	-20.378
13.247	[0.069, 0.074, 0.065, 0.244, 1.0, 0.277, 0.57, 0.257, 0.437, 0.088, 0.091, 0.304]	[34.512, 126.28, -26.873, -65.929, -54.444, 14.0, -27.555, -4.919, -37.926, -19.338, -0.767, -9.186]	-30.890
