time	chordName	chordKey	chordMode	chordNotes
16.463	B	11	1	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
16.742	B	11	1	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
16.997	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
17.020	Em	4	0	[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]
17.763	F#	6	1	[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]
17.856	F#	6	1	[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]
18.112	Fm	5	0	[1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]
18.251	Fm	5	0	[1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]
18.506	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
18.553	Abm	8	0	[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]
18.971	F#	6	1	[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]
19.064	F#	6	1	[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]
19.296	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
19.365	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
19.458	F#m	6	0	[0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]
19.621	F#	6	1	[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]
19.760	F#	6	1	[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]
19.969	F#	6	1	[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]
20.712	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
20.735	F#	6	1	[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]
20.991	F#	6	1	[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]
21.153	F#	6	1	[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]
21.269	F#	6	1	[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]
21.502	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
21.548	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
21.711	F#	6	1	[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]
21.896	F#	6	1	[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]
22.082	F#	6	1	[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]
22.268	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
22.361	Fm	5	0	[1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]
22.639	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]
22.779	C#	1	1	[0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]
22.895	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
22.988	Abm	8	0	[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]
23.243	G	7	1	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]
23.406	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
23.731	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
23.754	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]
24.242	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]
24.497	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]
24.636	D	2	1	[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]
24.706	F#m	6	0	[0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]
24.985	Abm	8	0	[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]
25.240	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
25.287	D	2	1	[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]
25.472	D	2	1	[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]
25.612	Abm	8	0	[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]
25.728	Ab	8	1	[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]
25.983	Ab	8	1	[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]
26.749	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
26.842	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]
26.912	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]
27.051	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]
27.492	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]
27.609	D	2	1	[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]
27.701	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]
27.980	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]
28.259	Abm	8	0	[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]
28.421	E	4	1	[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]
28.630	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
28.793	Em	4	0	[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]
29.002	Abm	8	0	[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]
29.118	A	9	1	[0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]
29.234	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
29.513	G	7	1	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]
29.768	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
29.861	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
