time	MFCC1	MFCC2	MFCC3	MFCC4	MFCC5	MFCC6
23.406	-0.008	0.022	0.004	0.007	0.015	0.003
23.731	0.503	0.394	-0.030	-0.120	-0.060	-0.029
23.754	0.076	0.074	-0.035	-0.063	-0.027	-0.031
24.242	-0.015	0.071	-0.096	-0.078	-0.018	-0.078
24.497	0.140	0.154	-0.029	-0.090	0.040	-0.035
24.636	0.154	0.011	-0.106	-0.035	0.035	-0.097
24.706	0.071	-0.041	-0.061	-0.052	0.030	0.002
24.985	0.042	0.102	-0.131	-0.063	0.077	-0.046
25.240	0.193	0.138	-0.043	-0.069	0.030	-0.016
25.287	0.162	-0.010	-0.050	-0.066	0.003	0.001
25.472	0.044	-0.020	-0.044	-0.039	-0.008	0.000
25.612	0.026	-0.078	-0.055	-0.042	0.011	0.019
25.728	0.064	0.124	-0.110	-0.107	-0.025	-0.049
25.983	0.064	0.087	-0.026	-0.055	-0.037	-0.022
26.749	0.074	0.059	-0.027	-0.076	-0.049	-0.044
26.842	0.153	0.059	0.014	-0.150	0.011	-0.074
26.912	0.058	0.016	-0.040	-0.136	-0.047	-0.037
27.051	0.014	0.095	-0.060	-0.188	0.057	0.007
27.492	0.078	0.017	-0.089	-0.087	0.004	0.006
27.609	0.153	-0.065	-0.140	-0.082	0.035	0.034
27.701	0.101	-0.061	-0.090	-0.120	0.028	-0.006
27.980	-0.042	0.126	-0.125	-0.156	0.031	-0.033
28.259	0.053	0.015	-0.049	-0.050	0.011	-0.036
28.421	0.077	-0.014	-0.067	-0.066	0.064	0.009
28.630	0.096	0.020	-0.135	-0.082	0.038	-0.023
28.793	0.062	0.088	-0.040	-0.094	-0.024	-0.018
29.002	0.105	-0.042	-0.059	-0.037	-0.057	-0.022
29.118	-0.021	-0.034	0.058	-0.008	-0.046	-0.023
29.234	-0.096	-0.030	-0.005	-0.014	-0.011	0.054
29.513	-0.036	-0.012	-0.102	-0.014	-0.019	-0.018
29.768	0.114	0.071	-0.073	-0.066	-0.045	-0.041
29.861	0.193	0.039	-0.059	-0.090	-0.089	-0.066
29.907	0.088	0.059	-0.095	-0.037	-0.080	-0.031
30.209	0.263	0.344	-0.220	-0.136	-0.033	-0.047
30.256	0.062	0.069	-0.091	-0.070	-0.029	-0.037
30.488	0.157	0.035	-0.126	-0.110	-0.093	-0.085
30.604	0.122	0.045	-0.089	-0.059	-0.031	-0.065
30.975	0.005	0.046	-0.093	-0.093	0.036	-0.062
31.254	0.154	0.093	-0.035	-0.044	0.013	-0.056
31.300	0.074	-0.016	-0.026	-0.059	-0.010	-0.021
31.486	0.053	-0.014	-0.047	-0.056	0.001	0.016
31.974	0.318	0.153	-0.047	-0.071	0.068	0.117
31.997	0.061	0.017	-0.057	-0.062	0.028	0.031
32.485	0.014	-0.002	-0.104	-0.073	0.007	-0.025
32.740	0.109	-0.014	-0.025	-0.090	0.015	-0.006
32.833	0.152	0.007	-0.060	-0.075	-0.023	-0.016
32.949	0.146	0.003	-0.070	-0.094	-0.003	0.084
33.205	0.011	0.009	-0.078	-0.031	-0.014	-0.040
