time	MFCC	ZC	noteName	noteMIDI	noteKey	noteOctave	chordName	chordKey	chordMode	chordNotes	RMS
7.384	[0.16718656116799649, 0.093042867748795388, 0.0067224855179603355, -0.12725726449699348, -0.015845101512953014, -0.061317195290696611]	0.051	G#	56	8	3	C#	1	1	[0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]	0.427
7.616	[0.026604392219578468, -0.0038097916659416658, -0.032753520249500907, -0.081396063933924276, -0.098170826987202767, 0.0044711612397484862]	0.110	C#	13	1	0	Ab	8	1	[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]	0.204
7.732	[0.025258419374908248, -0.017780929966250851, 0.0024831257074146695, -0.033805830170656581, -0.0041304953598887703, -0.0090420920315131652]	0.090	G#	44	8	2	Abm	8	0	[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]	0.233
7.988	[0.0037426171148279303, 0.01198075321352733, -0.0031910462285060174, -0.029267536223221671, 0.048443927044000343, 0.0011839069275567644]	0.083	G#	56	8	3	E	4	1	[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]	0.241
8.382	[0.046222332000058618, 0.062758906289408778, -0.070658214549429235, -0.085746603903687532, -0.034687070027036644, -0.044207547173030395]	0.167	G#	56	8	3	Fm	5	0	[1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]	0.283
8.754	[0.2776546972650743, 0.19523964048149497, -0.17169112599815597, -0.14752621198025703, 0.054403715995061885, -0.040882128087446699]	0.084	G	43	7	2	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.479
8.847	[0.13382123987755631, -0.011393383698153103, -0.08057309674136133, -0.048552109564659621, 0.00058724034011743524, 0.014979136609012253]	0.078	F#	42	6	2	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]	0.358
9.033	[0.053836723152179369, 0.020241395229314788, -0.099389134791607492, -0.07500903670177192, 0.011752644728458108, -0.0099803048194852789]	0.072	F	-7	5	-2	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]	0.291
9.218	[0.086935968974321459, 0.051040069985924592, -0.10958244865240145, 0.012277340342565004, 0.085687110560024093, 0.016056110219498747]	0.145	A	57	9	3	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]	0.333
9.265	[0.01776971638168022, -0.026961565497364642, -0.060621604260976007, -0.019251417621057663, 0.043329311874460846, -0.014530661898036619]	0.161	G	43	7	2	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]	0.307
9.497	[0.058947083829593461, -0.01566606167941682, -0.048658758574539038, -0.036024065309521597, 0.015403079020371007, -0.011013462767086207]	0.278	F#	42	6	2	F#	6	1	[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]	0.483
