bar
0.329
2.562
5.564
8.565
11.565
14.565
17.565
20.558
23.555
26.550
29.566
32.564
35.567
38.570
41.568
44.560
47.557
50.563
53.576
56.698
59.798
62.784
65.670
68.570
71.561
74.575
77.565
80.558
83.555
86.556
89.520
92.505
95.543
98.583
101.582
104.566
107.567
110.572
113.566
116.558
119.549
122.549
125.562
128.557
131.558
134.569
137.573
140.565
143.555
146.554
149.557
152.633
155.757
158.783
161.790
164.785
167.807
170.792
173.773
176.800
179.807
182.801
185.802
188.794
191.798
194.821
197.945
201.048
204.051
207.059
210.057
213.042
216.033
219.044
222.054
225.053
228.061
231.058
234.038
237.026
240.045
243.049
246.073
249.064
252.055
255.062
258.068
261.066
264.062
267.053
270.053
273.062
276.060
279.062
282.069
285.068
288.064
291.053
294.049
297.057
