time	noteName	noteMIDI	noteKey	noteOctave
53.894	C	48	0	3
53.963	B	47	11	2
54.242	C	48	0	3
54.288	F#	54	6	3
54.497	F	29	5	1
54.520	G#	56	8	3
54.962	A#	70	10	4
54.985	B	71	11	4
55.263	A	45	9	2
55.356	G	43	7	2
55.635	A	57	9	3
55.705	G#	32	8	1
56.007	A	57	9	3
56.169	G	55	7	3
56.308	G	55	7	3
56.517	G	55	7	3
56.773	D#	51	3	3
56.959	D#	51	3	3
57.214	D#	39	3	2
57.516	F#	42	6	2
57.655	G#	56	8	3
57.980	G	103	7	7
58.143	F	101	5	7
58.259	F#	54	6	3
58.445	G	55	7	3
58.491	F#	54	6	3
58.700	G#	56	8	3
59.002	D#	51	3	3
59.072	G#	56	8	3
59.768	A#	46	10	2
59.861	B	47	11	2
60.233	B	47	11	2
60.418	A#	46	10	2
60.488	F#	42	6	2
60.604	G#	44	8	2
60.720	B	35	11	1
60.976	B	35	11	1
61.231	A	93	9	6
61.254	A	45	9	2
61.394	G#	32	8	1
61.510	G#	32	8	1
61.858	G	55	7	3
61.997	C	60	0	4
62.485	G#	56	8	3
62.740	F	29	5	1
62.764	G#	56	8	3
62.973	G#	56	8	3
63.089	C	60	0	4
63.181	C	60	0	4
63.390	C#	1	1	-1
63.507	A#	10	10	-1
63.576	E	64	4	4
63.855	F	41	5	2
63.925	D#	63	3	4
64.250	F#	54	6	3
64.482	F#	54	6	3
64.644	B	47	11	2
64.760	G#	56	8	3
65.016	A	57	9	3
65.109	G#	56	8	3
65.225	A	57	9	3
65.759	F	29	5	1
65.782	A#	94	10	6
65.945	A#	94	10	6
66.247	F#	42	6	2
66.502	B	47	11	2
66.897	F#	42	6	2
67.013	G	43	7	2
67.245	F#	42	6	2
67.361	F#	42	6	2
67.617	G	55	7	3
67.709	F#	42	6	2
67.965	F	41	5	2
67.988	G#	56	8	3
68.290	A	57	9	3
68.429	G#	56	8	3
68.545	A	57	9	3
68.731	G	43	7	2
68.824	A	57	9	3
68.940	C#	49	1	3
69.335	C#	49	1	3
69.497	F#	42	6	2
69.613	A	57	9	3
70.055	B	107	11	7
70.078	G	31	7	1
70.264	F	29	5	1
70.356	F	29	5	1
70.449	D#	27	3	1
70.728	E	40	4	2
70.983	A	57	9	3
71.007	E	40	4	2
71.750	F	41	5	2
71.866	A#	46	10	2
71.959	B	47	11	2
72.237	B	35	11	1
72.493	B	47	11	2
72.609	G	55	7	3
72.655	B	47	11	2
72.980	F#	42	6	2
73.120	C	36	0	2
73.259	G#	44	8	2
73.375	A#	58	10	3
73.538	A	57	9	3
73.723	B	59	11	3
74.002	F	53	5	3
74.025	D#	87	3	6
74.141	D#	87	3	6
74.304	B	71	11	4
74.675	C	48	0	3
74.768	D#	39	3	2
75.000	D	62	2	4
75.209	A#	-2	10	-2
75.488	D	50	2	3
75.535	G	55	7	3
75.813	D#	39	3	2
75.952	G#	68	8	4
76.069	G#	92	8	6
76.254	D#	39	3	2
76.394	B	47	11	2
76.533	F	29	5	1
76.719	A	57	9	3
76.997	E	40	4	2
77.717	F	29	5	1
77.764	G	-5	7	-2
77.926	C	48	0	3
77.996	B	47	11	2
78.228	B	47	11	2
78.507	G#	56	8	3
78.623	B	47	11	2
78.785	F#	54	6	3
79.064	G	-5	7	-2
79.226	F	29	5	1
79.250	G#	44	8	2
79.505	G#	56	8	3
79.807	G#	56	8	3
79.900	F#	54	6	3
79.993	G#	32	8	1
80.550	F	-7	5	-2
80.736	F	53	5	3
80.759	G	31	7	1
80.898	A#	106	10	7
81.014	G#	32	8	1
81.223	A	57	9	3
81.502	A	57	9	3
81.618	A	57	9	3
81.990	C#	25	1	1
82.245	F	41	5	2
82.268	E	40	4	2
82.454	F	29	5	1
82.547	D#	27	3	1
82.756	G	43	7	2
82.988	F	29	5	1
83.244	G#	56	8	3
83.383	G#	56	8	3
83.754	F	41	5	2
83.778	B	47	11	2
83.894	B	47	11	2
84.126	B	47	11	2
84.242	B	47	11	2
84.497	G#	56	8	3
84.683	B	35	11	1
85.008	B	35	11	1
85.264	F#	42	6	2
85.380	F	53	5	3
85.403	A	57	9	3
85.519	D#	51	3	3
85.821	A	57	9	3
86.007	A	57	9	3
86.216	G#	56	8	3
86.541	A	57	9	3
86.750	C#	1	1	-1
